src,tgt
15+24+26=,65
26+6-4=,28
9-12*4=,-39
18*17-0=,306
10*8+25=,105
14*18+0=,252
29+22*23=,535
12+20+0=,32
8*3*16=,384
21+20*11=,241
26*23*29=,17342
13+17*4=,81
11*23*16=,4048
18*20*12=,4320
19*14-12=,254
3*0+2=,2
7-16*2=,-25
9+11+29=,49
28*24-25=,647
27*26*15=,10530
10+5+23=,38
17*19-21=,302
16+8*27=,232
14+21+0=,35
10+10*15=,160
23*3*4=,276
20*15*6=,1800
14*15-29=,181
20-1+19=,38
12*25*21=,6300
16+4+1=,21
17-14-1=,2
24-18*17=,-282
12-20*15=,-288
4+12+19=,35
12*24-11=,277
18-12*5=,-42
25-11*29=,-294
7-16+9=,0
16+2-26=,-8
10*0*3=,0
22-2-0=,20
1*7*20=,140
1+0*8=,1
0+7+26=,33
6+18-8=,16
11+25-10=,26
17*10+6=,176
13*6-6=,72
9*23-18=,189
0*9+25=,25
28-22*8=,-148
12+17-2=,27
7-21+19=,5
10*6-21=,39
21+9-16=,14
18-18+19=,19
25+20*20=,425
0*23-9=,-9
27-17-14=,-4
0+17*6=,102
7-22-23=,-38
13-1*23=,-10
14-10+8=,12
22*15*18=,5940
9-2*17=,-25
15-19+17=,13
20*1+19=,39
1+14*4=,57
22*9*6=,1188
12+26+3=,41
22-20+17=,19
21+7+13=,41
25+28-2=,51
14+2+5=,21
29-7+28=,50
16*5+14=,94
5+29-20=,14
15*0*4=,0
24+3-18=,9
24+24-5=,43
24*7*21=,3528
22+6*4=,46
15+3-29=,-11
15-10+19=,24
12-21-23=,-32
23*13*1=,299
2*21*12=,504
22*12+18=,282
7*0+26=,26
15-26*17=,-427
12-16+8=,4
12-24+15=,3
17-29-28=,-40
22*9*7=,1386
27+6-7=,26
11*20-29=,191
22+26-28=,20
19-21-26=,-28
20+10-11=,19
25+10+16=,51
0-3*20=,-60
4*10+20=,60
11*1+21=,32
1*12*19=,228
17*29-5=,488
16*22-14=,338
15+0+16=,31
7*29+24=,227
9*20-27=,153
28+2-26=,4
0-15-15=,-30
6*15-6=,84
23-1*8=,15
21-27-1=,-7
21-14*29=,-385
25+20-28=,17
28*14-18=,374
14-22*3=,-52
0+11-11=,0
3*16+25=,73
13*1-26=,-13
8-5+20=,23
22*0+29=,29
20+1+16=,37
7+20-5=,22
2*5*6=,60
2*3*27=,162
15-4+21=,32
8-13*5=,-57
29-1*8=,21
18-8+0=,10
15+7*26=,197
5+15*10=,155
5-13-21=,-29
27+9+1=,37
15+12+9=,36
24-6*0=,24
14+8*15=,134
28*15+17=,437
2+24*12=,290
8-2+21=,27
7*28*2=,392
7*6-14=,28
24-7*1=,17
9+11+14=,34
14*12-17=,151
6+13*13=,175
28+19+17=,64
12*3-6=,30
0*11+29=,29
24*6+18=,162
17*9*16=,2448
25-29-17=,-21
27-29*20=,-553
7*15+8=,113
9-15+9=,3
21+22+3=,46
20+14-13=,21
10+21*29=,619
19*6*19=,2166
11+5-23=,-7
0*23+25=,25
18*7*0=,0
0-2+17=,15
11+9+22=,42
2+7-24=,-15
26-22-15=,-11
18*12-3=,213
21+26-22=,25
23-9-11=,3
24+10-24=,10
28+19-1=,46
3+8-12=,-1
6+17-28=,-5
15*8+2=,122
29*3+27=,114
2+16*0=,2
28*4-2=,110
29*15*9=,3915
16-3+2=,15
8-1+5=,12
20+22+25=,67
5-2-13=,-10
26-22*9=,-172
17*19+18=,341
27-10*3=,-3
14-10+2=,6
20+15*10=,170
13-13*17=,-208
6*25+3=,153
10-29+19=,0
5*20*5=,500
1-5*21=,-104
18-11-16=,-9
28+8+12=,48
23-22*21=,-439
24-16*19=,-280
21+27*6=,183
22+25+11=,58
19+3+9=,31
28-14*28=,-364
26*27-23=,679
29*2+25=,83
26*27+20=,722
0*28*26=,0
14*27-3=,375
22+1+6=,29
16+16-6=,26
27*18*10=,4860
13-19-18=,-24
17-2*14=,-11
29*15+13=,448
18-2+4=,20
2+17*15=,257
1*13-11=,2
15-10*7=,-55
6+0+15=,21
27*27*23=,16767
12*29*21=,7308
13+7*8=,69
13-22-0=,-9
7-20+13=,0
18*3*10=,540
29*24+4=,700
15*8-7=,113
7-19+20=,8
3-20+9=,-8
16+4+23=,43
17+16-12=,21
27*21*13=,7371
3-17+20=,6
11*10*16=,1760
1+28*18=,505
15-10-6=,-1
12*29+20=,368
9+2-26=,-15
26-4-20=,2
28*19+24=,556
14-1-3=,10
7+6*19=,121
19-29+2=,-8
21*20-11=,409
5*0+26=,26
23-27*11=,-274
29+21-0=,50
25-7*21=,-122
12+23+2=,37
16*0*23=,0
11+23*9=,218
10-26-16=,-32
4-10+9=,3
17+7-11=,13
8-21*21=,-433
12*28*19=,6384
20*11*14=,3080
29-25+26=,30
1-23+13=,-9
10*0*21=,0
11*22+10=,252
22*2-16=,28
19-13+23=,29
22+18-24=,16
4+16-26=,-6
1-9+26=,18
28+2-21=,9
29*11+11=,330
19-1+28=,46
22+16+17=,55
17*2+22=,56
18+22+9=,49
29+3+27=,59
16*27-2=,430
14*16+26=,250
7+29-24=,12
15*18-20=,250
2-18-18=,-34
13+9*12=,121
16-7+13=,22
12*21+28=,280
7-2-0=,5
17*12+15=,219
24*12-28=,260
18-14+20=,24
25*15*4=,1500
13-26+3=,-10
17-14*2=,-11
8-2-24=,-18
4-25-9=,-30
18+17+4=,39
15*5*11=,825
27+25+21=,73
26*5+10=,140
7*25*3=,525
3*10+27=,57
16+3-1=,18
7*16-16=,96
8+10-28=,-10
29+16-13=,32
12*6-22=,50
2-15*18=,-268
1-2+4=,3
22-14+22=,30
21+4+5=,30
7+24*13=,319
28*21+11=,599
2+0-7=,-5
10+20*7=,150
11+14*0=,11
8*16*13=,1664
10*22-25=,195
9*21+26=,215
9*23-22=,185
18*15+28=,298
24-5-13=,6
21+21*21=,462
21-23-29=,-31
11*17*5=,935
1-13-26=,-38
3+9*12=,111
4*4*29=,464
17*27*24=,11016
22+0-2=,20
10*15-25=,125
13*14*13=,2366
29+21+24=,74
3+11-12=,2
25*5*17=,2125
7+5+22=,34
28*4+11=,123
26+11+19=,56
0+10*11=,110
8-8-12=,-12
16-5+16=,27
28-1-17=,10
19+3*28=,103
28*23+23=,667
16-24+20=,12
20*10*25=,5000
21*14-3=,291
9+7+3=,19
19+0*18=,19
10*0+17=,17
3+27+9=,39
15+19*5=,110
7+27*16=,439
6+1*7=,13
7+10*16=,167
18*22+6=,402
14+25*13=,339
7-18-11=,-22
9-20*5=,-91
28*26+13=,741
14+3*27=,95
25*27*9=,6075
8+23+13=,44
20-24-6=,-10
25+17-5=,37
12+22+11=,45
15+5+1=,21
8*17*11=,1496
12*14*21=,3528
25*21-3=,522
0-29-28=,-57
14*0+26=,26
0*9*27=,0
11*24*14=,3696
17*2-7=,27
22+13+12=,47
18-4+1=,15
22+22-4=,40
5*27+5=,140
15-23-15=,-23
2*17*19=,646
7-23+17=,1
13*5-24=,41
0+4+22=,26
26*9-17=,217
21+17+24=,62
11+3-17=,-3
27*22+8=,602
18+28-12=,34
5+25+29=,59
2*16*9=,288
12+4-1=,15
4-15*25=,-371
0-25+13=,-12
5*11-3=,52
19+6-29=,-4
24-27-22=,-25
12-12*9=,-96
19*12-19=,209
7-28*8=,-217
7*19+1=,134
19*25*0=,0
22*23*22=,11132
5+6+6=,17
9-29*7=,-194
20*20*8=,3200
20-4+13=,29
18-21-28=,-31
24+21*25=,549
13*28-22=,342
22-18*10=,-158
5-12+8=,1
2*1+2=,4
0*3+2=,2
4*13-23=,29
9*24*3=,648
22+16-25=,13
22*18+18=,414
29-20*22=,-411
0+7+9=,16
17-21+16=,12
26*15-5=,385
16-20*0=,16
6+28-22=,12
16+18-12=,22
16-3+15=,28
0*25*18=,0
26-25-27=,-26
14-28*23=,-630
4*21+20=,104
17+8*22=,193
11-9+4=,6
15*1-27=,-12
13+23+7=,43
20-29+8=,-1
23*28*18=,11592
20+9+14=,43
9-14-17=,-22
5-0-17=,-12
25+14+17=,56
2*4+21=,29
28+14-27=,15
27+28+11=,66
13*15+22=,217
21+20*24=,501
12+27-8=,31
24*16+29=,413
19+11-20=,10
18*29+10=,532
8*7-28=,28
9+6+16=,31
0+23-6=,17
24*20+22=,502
5-5+25=,25
18-22+3=,-1
17-21-13=,-17
13+25-13=,25
26*20-24=,496
6*13+17=,95
24+9*18=,186
26-12+13=,27
22+22-20=,24
16-3*6=,-2
2*5-3=,7
26-18*19=,-316
5-6-4=,-5
28*14*12=,4704
4-10+7=,1
29-28+11=,12
5+2+19=,26
16+17+17=,50
27*19-24=,489
26-26+13=,13
19+6-15=,10
23+16*14=,247
15+25*14=,365
6-0*2=,6
27-1*20=,7
16*24-19=,365
1-17+11=,-5
6-25-7=,-26
4+9*26=,238
26+20-11=,35
14+15+3=,32
10-23-28=,-41
1*6-4=,2
5+15*13=,200
24-8*0=,24
12-14-7=,-9
16+29-17=,28
28*9*29=,7308
22-0+6=,28
11+2+27=,40
2-6-2=,-6
23+18-21=,20
13+5*29=,158
14-10-1=,3
4+5-7=,2
22+15-6=,31
28-9*10=,-62
27*15-17=,388
9+8*2=,25
29-14-28=,-13
21-9+0=,12
19-0+1=,20
0+29-28=,1
25*0+5=,5
18-13+10=,15
6+18*4=,78
1+13+24=,38
13+11*8=,101
1+20*10=,201
10+25+20=,55
25-5-16=,4
13+7*25=,188
22+12*14=,190
1*26*26=,676
3*26*6=,468
0*12*24=,0
14*15-0=,210
17+27-21=,23
10*20+13=,213
8*5*12=,480
4+21+21=,46
14+14*6=,98
27+8+29=,64
26+12+4=,42
21-8*23=,-163
29*20-28=,552
4+18+27=,49
29*26-19=,735
18-24-6=,-12
14+18-7=,25
9-22*0=,9
12+8-5=,15
7*9*28=,1764
0+12*1=,12
5+27*9=,248
11+6-15=,2
22+2+16=,40
1*12+28=,40
2*5+16=,26
14-17+21=,18
8*24-0=,192
28*28+8=,792
9-3+26=,32
13*0+28=,28
22-17*28=,-454
8+16*27=,440
28+1+19=,48
4+28*10=,284
4+13+22=,39
18+5+16=,39
13*0+26=,26
25+25-4=,46
3+27+17=,47
17*12+23=,227
16*2-0=,32
6+19+24=,49
12+4-22=,-6
24+2*25=,74
0-0-5=,-5
20-6+2=,16
12+7-11=,8
21+14+22=,57
5*20-21=,79
9*1+20=,29
13-8*14=,-99
28-12*21=,-224
6*19*14=,1596
16*1+20=,36
7-21-13=,-27
12-13*24=,-300
24+12-11=,25
9*18-8=,154
28*7-8=,188
7+12+26=,45
24+17*12=,228
20+11-2=,29
8+26+23=,57
28*13-3=,361
14+5-1=,18
3*10+3=,33
24+29*10=,314
13-26*14=,-351
23+16*7=,135
20+25-20=,25
20-20+4=,4
19-24-13=,-18
16*15+12=,252
10*15+4=,154
3-26*24=,-621
22*7+24=,178
22+8*11=,110
10*25+28=,278
7+29+23=,59
29+23*15=,374
13*2+6=,32
24*25+22=,622
11-22+14=,3
25-8-20=,-3
2-0-21=,-19
17+14-5=,26
2-12-14=,-24
3+11*12=,135
26*27+16=,718
21-1-18=,2
11+21-17=,15
6-4*1=,2
1-14-27=,-40
13-21+27=,19
27*23-24=,597
23*2+10=,56
15-29*19=,-536
3-10*29=,-287
2+0+10=,12
17*26-29=,413
12*15*20=,3600
7+19-25=,1
1*23+28=,51
22*13-24=,262
29-7*19=,-104
4-24+0=,-20
20*9-13=,167
25-19*21=,-374
15+18+10=,43
25+15*12=,205
10+21+13=,44
17+23-28=,12
8+21+8=,37
20-4-2=,14
14*23-15=,307
25-26*21=,-521
20*12-7=,233
16-14+24=,26
22+8-11=,19
24*1*25=,600
5+6+28=,39
29-22-25=,-18
27+15-25=,17
9+3*11=,42
15+11*0=,15
7*25+2=,177
13*27*26=,9126
5+21-15=,11
27-7-7=,13
23+21-11=,33
21*28*11=,6468
6*17*19=,1938
19*28*18=,9576
15-2-17=,-4
8*26-14=,194
8*6-6=,42
20+5-25=,0
8-2+29=,35
29-19+17=,27
18+22-18=,22
0+18-22=,-4
12*17-28=,176
0*15+23=,23
29-25+21=,25
6-10+15=,11
0+26*27=,702
0*21*21=,0
27+0*23=,27
28*15+14=,434
15*8+27=,147
29-19-25=,-15
29-0+29=,58
27*11+4=,301
17-2-2=,13
6+18+11=,35
8-22-19=,-33
20+16-27=,9
18*0-22=,-22
0+9-1=,8
16+23+13=,52
0-29-14=,-43
4*17-7=,61
9-3+22=,28
9+6-27=,-12
18-26-10=,-18
11*29*1=,319
24-28*8=,-200
12-29-20=,-37
6*13*19=,1482
23-13+5=,15
0*2*0=,0
19+5-29=,-5
6+24+25=,55
7+14-22=,-1
28-29-28=,-29
6+19+17=,42
23*13*5=,1495
6+2*9=,24
25-16*3=,-23
0*26*4=,0
17*11-18=,169
4+6-24=,-14
15+2*1=,17
22-11*19=,-187
14*24*12=,4032
25*7-5=,170
6-26-7=,-27
0-0-6=,-6
10+22-20=,12
0+16*8=,128
19-26*18=,-449
16-19*24=,-440
23*15*7=,2415
12-26*24=,-612
0-15-2=,-17
25-24+26=,27
3+0+26=,29
28*28*22=,17248
2+20*27=,542
27-27-16=,-16
13+12+10=,35
29+4+28=,61
13*26-15=,323
8-27+16=,-3
14*20*0=,0
8-6-4=,-2
1+7-9=,-1
28+23+14=,65
16*0+7=,7
19*7+20=,153
22*25*28=,15400
16-12-6=,-2
29+20+11=,60
26*27-15=,687
25+14+10=,49
26-21-18=,-13
28*24*13=,8736
19+21-2=,38
14+13*29=,391
5+23+27=,55
12-29+4=,-13
0-25*11=,-275
3-16*17=,-269
9-3*11=,-24
20+9+24=,53
3-6*12=,-69
28+1+5=,34
29-0*18=,29
9-12+8=,5
25+27+15=,67
6+0+20=,26
29+18+11=,58
6*14-15=,69
4+6*16=,100
2*11-25=,-3
13+2-14=,1
15+27+17=,59
2-29-28=,-55
20+26+3=,49
23-21*27=,-544
16-13+8=,11
13+12+5=,30
15*29-28=,407
23+4*17=,91
10*16*10=,1600
18*2-22=,14
19+26*16=,435
28+8+15=,51
4*22+24=,112
22-10+0=,12
22-9*12=,-86
6*4-16=,8
17-16*20=,-303
26-12-0=,14
2-13*2=,-24
0*0-10=,-10
23+14+8=,45
13+10-23=,0
6*18*12=,1296
23+5+26=,54
15-1-8=,6
16-7+26=,35
20+6-0=,26
22-4*4=,6
22*2+14=,58
16-0-15=,1
23-21*8=,-145
11-15+14=,10
0*22+13=,13
12-22+4=,-6
28-19-7=,2
26+20+20=,66
27+14*22=,335
12-3*16=,-36
23-9*12=,-85
5*6-6=,24
24-18*4=,-48
0*16*5=,0
5-1-12=,-8
5*11+23=,78
14-27-15=,-28
3-16*6=,-93
27+16*21=,363
5+8+24=,37
19+5-10=,14
14-17*25=,-411
18+21-4=,35
8*24+27=,219
12-12-1=,-1
13*14*12=,2184
25-21*28=,-563
12*9-27=,81
18+27+12=,57
26+8*20=,186
9-20*13=,-251
1-29*18=,-521
11-11+4=,4
12+25*17=,437
19-20-5=,-6
28-27+7=,8
5-13*13=,-164
5+28-17=,16
21*5+9=,114
11-9*12=,-97
5-3+4=,6
10-23-9=,-22
9*28+3=,255
7+23+8=,38
29*18*9=,4698
22+16*22=,374
17+5*6=,47
0+12-26=,-14
23-9-22=,-8
19*6*2=,228
22+8+28=,58
2+13-26=,-11
22-5-2=,15
2+4+9=,15
9-25+17=,1
24-25+2=,1
7-21+4=,-10
3-22+15=,-4
5+21*26=,551
24-24-2=,-2
17-14+16=,19
1+3+18=,22
28+8+14=,50
6+4-17=,-7
21-0*21=,21
5-18*15=,-265
6-21*11=,-225
16-4+0=,12
16*23+2=,370
3+1+4=,8
27+5-13=,19
9*19*14=,2394
11*26-28=,258
26+16+29=,71
17-7+22=,32
8+3-1=,10
10*11-6=,104
11+14+9=,34
9*6-24=,30
28*23-28=,616
27*1*14=,378
25-7+6=,24
28-0*15=,28
7*16*10=,1120
21*4-27=,57
9*5-16=,29
8*20-1=,159
5+7+16=,28
21+2+27=,50
17+19*15=,302
16+24-21=,19
9+28+0=,37
9+2-17=,-6
10-1-26=,-17
22+16*12=,214
5+13*10=,135
0+22+8=,30
26*0*25=,0
26-24+22=,24
9-24*5=,-111
17*6-14=,88
18+27*28=,774
9+22*25=,559
23+9-14=,18
0*3-2=,-2
19-9-2=,8
16-28*18=,-488
15*0+3=,3
5+25*29=,730
14*22+15=,323
17-4*14=,-39
1*9+15=,24
10*1+22=,32
15+26+20=,61
8*10-2=,78
3-25+9=,-13
25-13-2=,10
19+8*18=,163
15*25-0=,375
0-28+19=,-9
25*14+28=,378
15-10*26=,-245
0+26+16=,42
18-21-26=,-29
0*23+26=,26
1*2-10=,-8
18*13*14=,3276
1+26+19=,46
24-22+0=,2
4+1-9=,-4
2*20+25=,65
21*16+9=,345
11+14-1=,24
5+6-19=,-8
25+9*11=,124
21*11*12=,2772
4*28-9=,103
3+3-0=,6
24-20*6=,-96
8-7*2=,-6
1+15*22=,331
19*29*17=,9367
2-9+25=,18
19*22+10=,428
17+29-6=,40
29-8+20=,41
23*17+16=,407
7+26+22=,55
14*10*3=,420
19-24-11=,-16
15-7+21=,29
0*10*3=,0
15*26-27=,363
21+17+20=,58
28-15-19=,-6
7+23-23=,7
20+2*12=,44
11-11*19=,-198
15+15+20=,50
23*27+1=,622
9+7-24=,-8
11+12*2=,35
12+6*29=,186
22*7*4=,616
0+21*0=,0
26-6-8=,12
21-17-6=,-2
23*4*27=,2484
18+10-15=,13
26*14+28=,392
17-3+23=,37
23+20*20=,423
3*7*8=,168
1-4-13=,-16
25+2+5=,32
12+22+6=,40
7+6*26=,163
13-5+6=,14
17+12-7=,22
8-20*13=,-252
5+3-3=,5
22-4+23=,41
20*26-17=,503
1*12*12=,144
1-21*21=,-440
2+9-25=,-14
22-12+18=,28
6+26+10=,42
16-11+4=,9
25*28-27=,673
24*5-4=,116
18-23*2=,-28
23+7+15=,45
12+8-27=,-7
15*0*7=,0
2+5*24=,122
13+14-14=,13
22-6*20=,-98
20-24*8=,-172
6+20*1=,26
14+24*29=,710
9*22-0=,198
20-25*19=,-455
10*7+21=,91
0+27*19=,513
6-24*16=,-378
20-11-13=,-4
25+16*21=,361
6-23*11=,-247
27-23-24=,-20
14-0-28=,-14
17-7+10=,20
1*12-0=,12
15*26*26=,10140
19-14*19=,-247
16*0-29=,-29
23+16+26=,65
13*9+13=,130
22+24*22=,550
11*6*2=,132
14+19-3=,30
10*1*3=,30
10+24*16=,394
0+7*15=,105
7-10+21=,18
8*20-12=,148
12*26+19=,331
25*26+1=,651
16+21-7=,30
10-8-0=,2
1-4+18=,15
17-18+26=,25
28-18-9=,1
21+9-24=,6
16-2*1=,14
27-13+16=,30
28-7*10=,-42
5*14*17=,1190
1-18+14=,-3
1*2+19=,21
16*5+9=,89
29-7*6=,-13
13-12+27=,28
25-1*7=,18
9-13*9=,-108
28*7+20=,216
7*0*5=,0
11-21*16=,-325
28+2-14=,16
5-19*0=,5
16-27+29=,18
21+28+10=,59
0+17*5=,85
21-29-27=,-35
17+25+28=,70
17*25*12=,5100
11*16*0=,0
22*5-15=,95
0+0*7=,0
15*14-19=,191
10*27-21=,249
6+24-10=,20
17-26+17=,8
5*24*6=,720
20+22*21=,482
29*25-26=,699
2-1-17=,-16
12*18+8=,224
20*29-29=,551
7+8*14=,119
14-21-28=,-35
1-1+22=,22
15*5*28=,2100
2*18-28=,8
22+23*13=,321
7+14+7=,28
17+19-20=,16
25*27*12=,8100
12*27*7=,2268
20+7*18=,146
7*5-6=,29
22-20+18=,20
17-2*19=,-21
28+23+19=,70
5*1+8=,13
28-27+3=,4
0+18-29=,-11
1*10*17=,170
6-1+25=,30
23*22*7=,3542
14+17-27=,4
28+22*13=,314
12+21*26=,558
28-7+13=,34
9*9*0=,0
29+15+20=,64
21*13-25=,248
25-20+12=,17
22+6-25=,3
5-4-17=,-16
1*2-13=,-11
9*17-27=,126
28-8+6=,26
3-13+13=,3
24+5*15=,99
8-7+8=,9
26*18*5=,2340
21-22+18=,17
24*21-12=,492
4-4-24=,-24
24-13*13=,-145
15+25-17=,23
8-0*7=,8
8-28+28=,8
20*22-10=,430
6+8+0=,14
9*9+4=,85
26-9*4=,-10
3-10-23=,-30
16*2+10=,42
19-27*7=,-170
26+12*5=,86
14+0+24=,38
23*14+28=,350
27*1+6=,33
14*26*23=,8372
16*7-3=,109
5+0-19=,-14
24-27*18=,-462
11-16+29=,24
25*18*7=,3150
1*4+21=,25
6-17-11=,-22
3+19*15=,288
7+10+14=,31
3*6+7=,25
11-18+14=,7
3-27*21=,-564
19+18-13=,24
27-19-24=,-16
5-18*27=,-481
20+16*21=,356
3-23-29=,-49
15-20*25=,-485
5-27-8=,-30
24*29*5=,3480
26+15-2=,39
2*28*23=,1288
21-10+21=,32
22-21*0=,22
12+3*7=,33
18+21*23=,501
5-3+28=,30
10+9*11=,109
3-0*21=,3
7*16*7=,784
4+17+15=,36
1-2*18=,-35
29+8-19=,18
6*10*29=,1740
2-28+2=,-24
13-14+14=,13
12+24*24=,588
2+1-12=,-9
19+28*14=,411
19*11+27=,236
20*25+1=,501
14-11*5=,-41
26-13+18=,31
11+12*10=,131
22-24*26=,-602
12+22*29=,650
8+2*12=,32
12+10*28=,292
3-16*11=,-173
6+8-8=,6
15-9*4=,-21
8*17+0=,136
0*4-24=,-24
9+14-8=,15
20-27-21=,-28
8-7-14=,-13
11*4-22=,22
29*5-14=,131
18*18*2=,648
16-2+2=,16
20*13+15=,275
26*29+29=,783
1-10+21=,12
16-15-3=,-2
20+2*25=,70
24+14-23=,15
29+9-17=,21
8-20*17=,-332
25+4-24=,5
26-26*0=,26
23*0-17=,-17
9-16+13=,6
9*8+11=,83
11-7-8=,-4
0-10*15=,-150
7*2+0=,14
2*7*11=,154
5*24-0=,120
29+2+9=,40
3+13*9=,120
21-0+19=,40
3*16*2=,96
18*24+15=,447
11-26*24=,-613
1+23-12=,12
7+15-2=,20
16*8+5=,133
19+6-7=,18
12-17*19=,-311
8+3-2=,9
8+14-27=,-5
29+14*13=,211
27*29*19=,14877
16-10*19=,-174
19*9+23=,194
6+4+10=,20
14+4-20=,-2
25+3*16=,73
22-23+22=,21
10+6-8=,8
4*23-23=,69
19*1-26=,-7
12-2*27=,-42
10+2-26=,-14
24+25+21=,70
24+14-4=,34
27-28*15=,-393
19-2+21=,38
25+24-10=,39
27-0+4=,31
16+1*19=,35
20-22+25=,23
13-0*1=,13
2*2*6=,24
16-12-12=,-8
11-22+2=,-9
22-16+23=,29
8*24+26=,218
9+4-6=,7
16*4-1=,63
25+20*9=,205
16*20*23=,7360
13+9-18=,4
10*13+13=,143
9*3-28=,-1
4-10+12=,6
22+2+8=,32
27+3-16=,14
29*11+2=,321
9+25-16=,18
26-5-1=,20
5-10+2=,-3
10+29+29=,68
18+7-1=,24
24*4*2=,192
0+15+26=,41
0*20-21=,-21
27+17+2=,46
9-27-21=,-39
20*24-6=,474
20*5-20=,80
13+5-14=,4
13*23*10=,2990
3-17*22=,-371
9*24*7=,1512
13-25-1=,-13
19-7*10=,-51
21-11-20=,-10
11+6*2=,23
21-29-15=,-23
14*13*28=,5096
24*19+27=,483
16*8+24=,152
2*11-1=,21
29+5+10=,44
16-3-9=,4
22+13-27=,8
4+5*12=,64
27*24-28=,620
3-10*13=,-127
14+24+15=,53
10*16+0=,160
14*29+13=,419
20+26*25=,670
8*15-21=,99
22-10*10=,-78
21+26*14=,385
16+25-22=,19
13*10*2=,260
15*11*4=,660
9*18-11=,151
14+5+2=,21
9*2*23=,414
1+27+29=,57
16-11*16=,-160
11+4*22=,99
27*19+8=,521
12-23+4=,-7
19-24*22=,-509
16*10+23=,183
